"","Name","Label","Country_specific","Scale_type","Type","Format","Valid","Invalid","Question","Group"
"1","cntry","Country","no","nominal","discrete","character-2",44387,0,"5 Country","Group Country"
"2","dweight","Design weight","no","continuous","continuous","numeric-4.2",44387,0,"R17 Design weight","Group Weights"
"3","pspwght","Post-stratification weight including design weight","no","continuous","continuous","numeric-4.2",44387,0,"R18 Post-stratification weight including design weight","Group Weights"
"4","pweight","Population size weight (must be combined with dweight or pspwght)","no","continuous","continuous","numeric-8.2",44387,0,"R19 Population size weight (must be combined with dweight or pspwght)","Group Weights"
"5","nwspol","News about politics and current affairs, watching, reading or listening, in minutes","no","continuous","continuous","numeric-4.0",43863,524,"A1 On a typical day, about how much time do you spend watching, reading or listening to news about politics and current affairs?","Group Media and social trust"
"6","netusoft","Internet use, how often","no","ordinal","discrete","numeric-1.0",44338,49,"A2 People can use the internet on different devices such as computers, tablets and smartphones. How often do you use the internet on these or any other devices, whether for work or personal use?","Group Media and social trust"
"7","netustm","Internet use, how much time on typical day, in minutes","no","continuous","continuous","numeric-4.0",30113,14274,"A3 On a typical day, about how much time do you spend using the internet on a computer, tablet, smartphone or other device, whether for work or personal use?","Group Media and social trust"
"8","ppltrst","Most people can be trusted or you can't be too careful","no","ordinal","discrete","numeric-2.0",44272,115,"A4 Using this card, generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people? Please tell me
on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.","Group Media and social trust"
"9","pplfair","Most people try to take advantage of you, or try to be fair","no","ordinal","discrete","numeric-2.0",44072,315,"A5 Using this card, do you think that most people would try to take advantage of you if they got the chance, or would they try to be fair?","Group Media and social trust"
"10","pplhlp","Most of the time people helpful or mostly looking out for themselves","no","ordinal","discrete","numeric-2.0",44211,176,"A6 Would you say that most of the time people try to be helpful or that they are mostly looking out for themselves?","Group Media and social trust"
"11","polintr","How interested in politics","no","ordinal","discrete","numeric-1.0",44290,97,"B1 How interested would you say you are in politics - are you...","Group Politics"
"12","psppsgva","Political system allows people to have a say in what government does","no","ordinal","discrete","numeric-1.0",43429,958,"B2 How much would you say the political system in [country] allows people like you to have a say in what the government does?","Group Politics"
"13","actrolga","Able to take active role in political group","no","ordinal","discrete","numeric-1.0",43452,935,"B3 How able do you think you are to take an active role in a group involved with political issues?","Group Politics"
"14","psppipla","Political system allows people to have influence on politics","no","ordinal","discrete","numeric-1.0",43545,842,"B4 And how much would you say that the political system in [country] allows people like you to have an influence on politics?","Group Politics"
"15","cptppola","Confident in own ability to participate in politics","no","ordinal","discrete","numeric-1.0",43389,998,"B5 And how confident are you in your own ability to participate in politics?","Group Politics"
"16","trstprl","Trust in country's parliament","no","ordinal","discrete","numeric-2.0",43514,873,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...[country]'s parliament?","Group Politics"
"17","trstlgl","Trust in the legal system","no","ordinal","discrete","numeric-2.0",43538,849,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust
an institution at all, and 10 means you have complete trust. Firstly... ...the legal system?","Group Politics"
"18","trstplc","Trust in the police","no","ordinal","discrete","numeric-2.0",44067,320,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...the police?","Group Politics"
"19","trstplt","Trust in politicians","no","ordinal","discrete","numeric-2.0",43741,646,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...politicians?","Group Politics"
"20","trstprt","Trust in political parties","no","ordinal","discrete","numeric-2.0",43532,855,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust
an institution at all, and 10 means you have complete trust. Firstly... ...political parties?","Group Politics"
"21","trstep","Trust in the European Parliament","no","ordinal","discrete","numeric-2.0",40924,3463,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...the European Parliament?","Group Politics"
"22","trstun","Trust in the United Nations","no","ordinal","discrete","numeric-2.0",40928,3459,"B6-12 Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out. 0 means you do not trust an
institution at all, and 10 means you have complete trust. Firstly... ...the United
Nations?","Group Politics"
"23","vote","Voted last national election","no","nominal","discrete","numeric-1.0",43919,468,"B13 Some people don't vote nowadays for one reason or another. Did you vote in the last [country] national election in [month/year]?","Group Politics"
"24","prtvtbat","Party voted for in last national election, Austria","yes","nominal","discrete","numeric-2.0",1349,43038,"B14AT Which party did you vote for in that election? (Austria)","Group Politics"
"25","prtvtcbe","Party voted for in last national election, Belgium","yes","nominal","discrete","numeric-2.0",1268,43119,"B14BE Which party did you vote for in that election? (Belgium)","Group Politics"
"26","prtvtfch","Party voted for in last national election, Switzerland","yes","nominal","discrete","numeric-2.0",761,43626,"B14CH Which party did you vote for in that election? (Switzerland)","Group Politics"
"27","prtvtdcz","Party voted for in last national election, Czechia","yes","nominal","discrete","numeric-2.0",1135,43252,"B14CZ Which party did you vote for in that election? (Czechia)","Group Politics"
"28","prtvede1","Party voted for in last national election 1, Germany","yes","nominal","discrete","numeric-2.0",1835,42552,"B14DE Which party did you vote for in that election? (Germany 1)","Group Politics"
"29","prtvede2","Party voted for in last national election 2, Germany","yes","nominal","discrete","numeric-2.0",1858,42529,"B14DE Which party did you vote for in that election? (Germany 2)","Group Politics"
"30","prtvtfee","Party voted for in last national election, Estonia","yes","nominal","discrete","numeric-2.0",1167,43220,"B14EE Which party did you vote for in that election? (Estonia)","Group Politics"
"31","prtvtdes","Party voted for in last national election, Spain","yes","nominal","discrete","numeric-2.0",1272,43115,"B14ES Which party did you vote for in that election? (Spain)","Group Politics"
"32","prtvtdfi","Party voted for in last national election, Finland","yes","nominal","discrete","numeric-2.0",1351,43036,"B14FI Which party did you vote for in that election? (Finland)","Group Politics"
"33","prtvtcfr","Party voted for in last national election, France (ballot 1)","yes","nominal","discrete","numeric-2.0",1059,43328,"B14FR Which party did you vote for in that election? (France)","Group Politics"
"34","prtvtbgb","Party voted for in last national election, United Kingdom","yes","nominal","discrete","numeric-2.0",1333,43054,"B14GB Which party did you vote for in that election? (United Kingdom)","Group Politics"
"35","prtvtehu","Party voted for in last national election, Hungary","yes","nominal","discrete","numeric-2.0",868,43519,"B14HU Which party did you vote for in that election? (Hungary)","Group Politics"
"36","prtvtbie","Party voted for in last national election, Ireland","yes","nominal","discrete","numeric-2.0",1794,42593,"B14IE Which party did you vote for in that election? (Ireland)","Group Politics"
"37","prtvtcil","Party voted for in last national election, Israel","yes","nominal","discrete","numeric-2.0",1788,42599,"B14IL Which party did you vote for in that election? (Israel)","Group Politics"
"38","prtvtbis","Party voted for in last national election, Iceland","yes","nominal","discrete","numeric-2.0",707,43680,"B14IS Which party did you vote for in that election? (Iceland)","Group Politics"
"39","prtvtbit","Party voted for in last national election, Italy","yes","nominal","discrete","numeric-2.0",945,43442,"B14IT Which party did you vote for in that election? (Italy)","Group Politics"
"40","prtvblt1","Party voted for in last national election 1, Lithuania (first vote, party)","yes","nominal","discrete","numeric-2.0",1027,43360,"B14LT1 Which party did you vote for in that election? (Lithuania 1)","Group Politics"
"41","prtvblt2","Party voted for in last national election 2, Lithuania (second vote, party)","yes","nominal","discrete","numeric-2.0",1020,43367,"B14LT2 Which party did you vote for in that election? (Lithuania 2)","Group Politics"
"42","prtvblt3","Party voted for in last national election 3, Lithuania (third vote, party)","yes","nominal","discrete","numeric-2.0",1049,43338,"B14LT3 Which party did you vote for in that election? (Lithuania 3)","Group Politics"
"43","prtvtfnl","Party voted for in last national election, Netherlands","yes","nominal","discrete","numeric-2.0",1180,43207,"B14NL Which party did you vote for in that election? (Netherlands)","Group Politics"
"44","prtvtbno","Party voted for in last national election, Norway","yes","nominal","discrete","numeric-2.0",1153,43234,"B14NO Which party did you vote for in that election? (Norway)","Group Politics"
"45","prtvtdpl","Party voted for in last national election, Poland","yes","nominal","discrete","numeric-2.0",1048,43339,"B14PL Which party did you vote for in that election? (Poland)","Group Politics"
"46","prtvtcpt","Party voted for in last national election, Portugal","yes","nominal","discrete","numeric-2.0",763,43624,"B14PT Which party did you vote for in that election? (Portugal)","Group Politics"
"47","prtvtdru","Party voted for in last national election, Russian Federation","yes","nominal","discrete","numeric-2.0",1173,43214,"B14RU Which party did you vote for in that election? (Russian Federation)","Group Politics"
"48","prtvtbse","Party voted for in last national election, Sweden","yes","nominal","discrete","numeric-2.0",1262,43125,"B14SE Which party did you vote for in that election? (Sweden)","Group Politics"
