"","X","idno","cntry","gndr","agea","edulvlb","eduyrs","nwspol","netusoft","netustm","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","lrscale","yrbrn"
"1",1,1,"AT",2,34,720,21,120,4,180,6,7,0,2,8,9,10,0,1982
"2",2,2,"AT",1,52,313,16,120,5,120,5,4,3,3,4,6,7,1,1964
"3",4,6,"AT",1,54,322,12,30,5,120,1,1,2,1,1,1,1,0,1962
"4",5,10,"AT",2,20,322,13,30,5,180,7,7,10,6,7,9,10,5,1996
"5",6,11,"AT",2,65,313,13,60,5,120,4,6,7,3,3,2,4,5,1951
"6",8,13,"AT",2,44,423,17,45,4,30,6,7,9,5,3,4,6,5,1972
"7",9,14,"AT",2,22,322,14,10,5,120,10,10,10,9,8,8,10,5,1994
"8",10,15,"AT",2,41,322,16,60,4,120,7,8,7,4,4,1,0,5,1975
"9",12,17,"AT",1,61,322,11,90,4,90,0,5,7,0,0,0,0,8,1955
"10",13,18,"AT",1,50,322,12,15,4,90,2,8,7,6,6,5,4,8,1966
"11",14,19,"AT",2,31,322,12,30,4,180,6,7,7,5,5,7,6,5,1985
"12",16,22,"AT",1,28,322,12,15,5,120,8,8,10,8,8,8,8,6,1988
"13",17,23,"AT",1,58,520,14,30,5,11,7,6,8,5,5,6,4,3,1958
"14",18,24,"AT",1,51,322,12,30,5,360,6,5,8,4,3,3,4,7,1965
"15",19,28,"AT",2,65,322,12,30,4,60,7,7,9,6,6,6,6,4,1951
"16",20,29,"AT",2,61,322,15,15,5,150,2,7,4,2,2,2,2,9,1955
"17",22,32,"AT",1,47,710,20,60,5,180,8,7,8,5,5,8,8,7,1969
"18",23,34,"AT",2,40,322,12,40,4,210,10,10,10,8,10,8,8,9,1976
"19",24,39,"AT",1,45,322,12,35,4,60,1,7,9,2,3,3,5,10,1971
"20",26,43,"AT",2,46,322,12,1,5,20,2,4,10,2,2,4,4,5,1970
"21",27,45,"AT",2,24,423,18,30,5,120,7,6,7,6,6,7,7,2,1992
"22",29,49,"AT",2,46,610,18,60,5,120,5,5,8,5,5,5,7,5,1970
"23",31,52,"AT",1,61,322,14,45,4,30,5,6,6,4,4,3,3,5,1955
